1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
Precio,Volumen,Mayor o Menor 1m,Mayor o Menor 5m,Disferencia a 1m,Disferencia a 5m,RSI,Oscilador Estocastico,Indice de Canales de Productos Basicos,Indice de Movimiento Dirreccional Medio,Osilador Asombroso,Momento,Nivel MACD,RSI Estocastico Rapido,Rango de porsentaje de Williams,Bull Bear Power,Oscilador Ultimo,Hora,Minuto,Segundo
0.63940,201.974K,['-'],['-'],['-'],['-'],31.24103,20.57678,−277.06553,16.74103,0.00004,−0.00070,−0.00005,3.59173,−100.00000,−0.00028,40.29145,18,12,46
0.63940,201.974K,['-'],['-'],['-'],['-'],31.24103,20.57678,−277.06553,16.74103,0.00004,−0.00070,−0.00005,3.59173,−100.00000,−0.00028,40.29145,18,13,09
0.63940,201.974K,['-'],['-'],['-'],['-'],31.24103,20.57678,−277.06553,16.74103,0.00004,−0.00070,−0.00005,3.59173,−100.00000,−0.00028,40.29145,18,13,29
0.63940,201.974K,['-'],['-'],['-'],['-'],31.24103,20.57678,−277.06553,16.74103,0.00004,−0.00070,−0.00005,3.59173,−100.00000,−0.00028,40.29145,18,13,50
0.63940,201.974K,['-'],['-'],['-'],['-'],31.24103,20.57678,−277.06553,16.74103,0.00004,−0.00070,−0.00005,3.59173,−100.00000,−0.00028,40.29145,18,14,11
0.63940,201.974K,['-'],['-'],['-'],['-'],31.24103,20.57678,−277.06553,16.74103,0.00004,−0.00070,−0.00005,3.59173,−100.00000,−0.00028,40.29145,18,14,32
0.63940,201.974K,['-'],['-'],['-'],['-'],31.24103,20.57678,−277.06553,16.74103,0.00004,−0.00070,−0.00005,3.59173,−100.00000,−0.00028,40.29145,18,14,53
0.63940,201.974K,['-'],['-'],['-'],['-'],31.24103,20.57678,−277.06553,16.74103,0.00004,−0.00070,−0.00005,3.59173,−100.00000,−0.00028,40.29145,18,15,14
0.63940,201.974K,['-'],['-'],['-'],['-'],56.00811,34.47311,82.01058,17.83218,0.00003,0.00014,−0.00001,21.91444,−21.37405,0.00064,47.16104,18,15,35
0.63940,201.974K,['-'],['-'],['-'],['-'],56.00811,34.47311,82.01058,17.83218,0.00003,0.00014,−0.00001,21.91444,−21.37405,0.00064,47.16104,18,15,57
